Interaction_ID,Timestamp,User_ID,Interaction_Type,Product_ID,Search_Query
1601,2023-12-07 04:04:13.310127,1,product_search,-,clothing
1602,2023-12-07 04:04:13.310127,2,product_search,-,electronics
1603,2023-12-07 04:04:13.310127,3,product_search,-,clothing
1604,2023-12-07 04:04:13.310127,4,product_search,-,electronics
1605,2023-12-07 04:04:13.310127,5,product_search,-,laptop
1606,2023-12-07 04:04:13.310127,6,product_search,-,laptop
1607,2023-12-07 04:04:13.310127,7,product_search,-,phone
1608,2023-12-07 04:04:13.310127,8,product_search,-,clothing
1609,2023-12-07 04:04:13.310127,9,product_search,-,phone
1610,2023-12-07 04:04:13.310127,10,product_search,-,laptop
1611,2023-12-07 04:04:13.310127,11,product_search,-,phone
1612,2023-12-07 04:04:13.310127,12,product_search,-,electronics
1613,2023-12-07 04:04:13.310127,13,product_search,-,electronics
1614,2023-12-07 04:04:13.310127,14,product_search,-,phone
1615,2023-12-07 04:04:13.310127,15,product_search,-,clothing
1616,2023-12-07 04:04:13.310127,16,product_search,-,clothing
1617,2023-12-07 04:04:13.310127,17,product_search,-,clothing
1618,2023-12-07 04:04:13.310127,18,product_search,-,clothing
1619,2023-12-07 04:04:13.310127,19,product_search,-,shoes
1620,2023-12-07 04:04:13.310127,20,product_search,-,phone
1621,2023-12-07 04:04:13.310127,21,product_search,-,clothing
1622,2023-12-07 04:04:13.310127,22,product_search,-,laptop
1623,2023-12-07 04:04:13.310127,23,product_search,-,shoes
1624,2023-12-07 04:04:13.310127,24,product_search,-,shoes
1625,2023-12-07 04:04:13.310127,25,product_search,-,electronics
1626,2023-12-07 04:04:13.310127,26,product_search,-,shoes
1627,2023-12-07 04:04:13.310127,27,product_search,-,shoes
1628,2023-12-07 04:04:13.310127,28,product_search,-,laptop
1629,2023-12-07 04:04:13.310127,29,product_search,-,electronics
1630,2023-12-07 04:04:13.310127,30,product_search,-,phone
1631,2023-12-07 04:04:13.310127,31,product_search,-,clothing
1632,2023-12-07 04:04:13.310127,32,product_search,-,laptop
1633,2023-12-07 04:04:13.310127,33,product_search,-,phone
1634,2023-12-07 04:04:13.310127,34,product_search,-,laptop
1635,2023-12-07 04:04:13.310127,35,product_search,-,phone
1636,2023-12-07 04:04:13.310127,36,product_search,-,phone
1637,2023-12-07 04:04:13.310127,37,product_search,-,electronics
1638,2023-12-07 04:04:13.310127,38,product_search,-,laptop
1639,2023-12-07 04:04:13.310127,39,product_search,-,laptop
1640,2023-12-07 04:04:13.310127,40,product_search,-,shoes
1641,2023-12-07 04:04:13.310127,41,product_search,-,electronics
1642,2023-12-07 04:04:13.310127,42,product_search,-,shoes
1643,2023-12-07 04:04:13.310127,43,product_search,-,clothing
1644,2023-12-07 04:04:13.310127,44,product_search,-,clothing
1645,2023-12-07 04:04:13.310127,45,product_search,-,electronics
1646,2023-12-07 04:04:13.310127,46,product_search,-,electronics
1647,2023-12-07 04:04:13.310127,47,product_search,-,shoes
1648,2023-12-07 04:04:13.310127,48,product_search,-,phone
1649,2023-12-07 04:04:13.310127,49,product_search,-,shoes
1650,2023-12-07 04:04:13.310127,50,product_search,-,shoes
1651,2023-12-07 04:04:13.310127,51,product_search,-,clothing
1652,2023-12-07 04:04:13.310127,52,product_search,-,laptop
1653,2023-12-07 04:04:13.310127,53,product_search,-,electronics
1654,2023-12-07 04:04:13.310127,54,product_search,-,laptop
1655,2023-12-07 04:04:13.310127,55,product_search,-,phone
1656,2023-12-07 04:04:13.310127,56,product_search,-,shoes
1657,2023-12-07 04:04:13.310127,57,product_search,-,clothing
1658,2023-12-07 04:04:13.310127,58,product_search,-,clothing
1659,2023-12-07 04:04:13.310127,59,product_search,-,shoes
1660,2023-12-07 04:04:13.310127,60,product_search,-,laptop
1661,2023-12-07 04:04:13.310127,61,product_search,-,phone
1662,2023-12-07 04:04:13.310127,62,product_search,-,clothing
1663,2023-12-07 04:04:13.310127,63,product_search,-,electronics
1664,2023-12-07 04:04:13.310127,64,product_search,-,electronics
1665,2023-12-07 04:04:13.310127,65,product_search,-,clothing
1666,2023-12-07 04:04:13.310127,66,product_search,-,phone
1667,2023-12-07 04:04:13.310127,67,product_search,-,electronics
1668,2023-12-07 04:04:13.310127,68,product_search,-,electronics
1669,2023-12-07 04:04:13.310127,69,product_search,-,phone
1670,2023-12-07 04:04:13.310127,70,product_search,-,phone
1671,2023-12-07 04:04:13.310127,71,product_search,-,clothing
1672,2023-12-07 04:04:13.310127,72,product_search,-,electronics
1673,2023-12-07 04:04:13.310127,73,product_search,-,phone
1674,2023-12-07 04:04:13.310127,74,product_search,-,electronics
1675,2023-12-07 04:04:13.310127,75,product_search,-,shoes
1676,2023-12-07 04:04:13.310127,76,product_search,-,phone
1677,2023-12-07 04:04:13.310127,77,product_search,-,laptop
1678,2023-12-07 04:04:13.310127,78,product_search,-,electronics
1679,2023-12-07 04:04:13.310127,79,product_search,-,electronics
1680,2023-12-07 04:04:13.310127,80,product_search,-,phone
1681,2023-12-07 04:04:13.310127,81,product_search,-,electronics
1682,2023-12-07 04:04:13.310127,82,product_search,-,laptop
1683,2023-12-07 04:04:13.310127,83,product_search,-,clothing
1684,2023-12-07 04:04:13.310127,84,product_search,-,shoes
1685,2023-12-07 04:04:13.310127,85,product_search,-,laptop
1686,2023-12-07 04:04:13.310127,86,product_search,-,shoes
1687,2023-12-07 04:04:13.310127,87,product_search,-,electronics
1688,2023-12-07 04:04:13.310127,88,product_search,-,clothing
1689,2023-12-07 04:04:13.310127,89,product_search,-,electronics
1690,2023-12-07 04:04:13.310127,90,product_search,-,shoes
1691,2023-12-07 04:04:13.310127,91,product_search,-,phone
1692,2023-12-07 04:04:13.310127,92,product_search,-,electronics
1693,2023-12-07 04:04:13.310127,93,product_search,-,shoes
1694,2023-12-07 04:04:13.310127,94,product_search,-,laptop
1695,2023-12-07 04:04:13.310127,95,product_search,-,laptop
1696,2023-12-07 04:04:13.310127,96,product_search,-,clothing
1697,2023-12-07 04:04:13.310127,97,product_search,-,electronics
1698,2023-12-07 04:04:13.310127,98,product_search,-,phone
1699,2023-12-07 04:04:13.310127,99,product_search,-,electronics
1700,2023-12-07 04:04:13.310127,100,product_search,-,clothing
