Interaction_ID,Timestamp,User_ID,Interaction_Type,Product_ID,Product_Name,Quantity
2701,2023-12-07 04:15:14.723447,1,add_to_cart,22,Backpack,4
2702,2023-12-07 04:15:14.723447,2,add_to_cart,5,Television,3
2703,2023-12-07 04:15:14.723447,3,add_to_cart,17,Microwave,1
2704,2023-12-07 04:15:14.723447,4,add_to_cart,5,Television,3
2705,2023-12-07 04:15:14.723447,5,add_to_cart,1,Laptop,2
2706,2023-12-07 04:15:14.723447,6,add_to_cart,15,Art Supplies,1
2707,2023-12-07 04:15:14.723447,7,add_to_cart,22,Backpack,4
2708,2023-12-07 04:15:14.723447,8,add_to_cart,19,Coffee Maker,1
2709,2023-12-07 04:15:14.723447,9,add_to_cart,9,Dress,3
2710,2023-12-07 04:15:14.723447,10,add_to_cart,42,Cookware Set,2
2711,2023-12-07 04:15:14.723447,11,add_to_cart,42,Cookware Set,1
2712,2023-12-07 04:15:14.723447,12,add_to_cart,46,Sculpture,4
2713,2023-12-07 04:15:14.723447,13,add_to_cart,5,Television,1
2714,2023-12-07 04:15:14.723447,14,add_to_cart,3,Headphones,4
2715,2023-12-07 04:15:14.723447,15,add_to_cart,7,Jeans,4
2716,2023-12-07 04:15:14.723447,16,add_to_cart,4,Camera,1
2717,2023-12-07 04:15:14.723447,17,add_to_cart,17,Microwave,4
2718,2023-12-07 04:15:14.723447,18,add_to_cart,16,Refrigerator,4
2719,2023-12-07 04:15:14.723447,19,add_to_cart,33,Sweater,3
2720,2023-12-07 04:15:14.723447,20,add_to_cart,30,Plant,1
2721,2023-12-07 04:15:14.723447,21,add_to_cart,19,Coffee Maker,2
2722,2023-12-07 04:15:14.723447,22,add_to_cart,10,Jacket,3
2723,2023-12-07 04:15:14.723447,23,add_to_cart,48,Hiking Boots,3
2724,2023-12-07 04:15:14.723447,24,add_to_cart,7,Jeans,3
2725,2023-12-07 04:15:14.723447,25,add_to_cart,23,Guitar,3
2726,2023-12-07 04:15:14.723447,26,add_to_cart,18,Blender,4
