Interaction_ID,Timestamp,User_ID,Interaction_Type,Product_ID,Product_Name,Quantity,Payment_Method
3501,2023-12-07 04:32:17.523041,1,purchase,26,Watch,1,PayPal
3502,2023-12-07 04:32:17.523041,2,purchase,24,Fitness Tracker,4,Debit Card
3503,2023-12-07 04:32:17.523041,3,purchase,9,Dress,2,Credit Card
3504,2023-12-07 04:32:17.523041,4,purchase,15,Art Supplies,4,PayPal
3505,2023-12-07 04:32:17.523041,5,purchase,14,Pen,2,Debit Card
3506,2023-12-07 04:32:17.523041,6,purchase,22,Backpack,2,Debit Card
3507,2023-12-07 04:32:17.523041,7,purchase,33,Sweater,4,PayPal
3508,2023-12-07 04:32:17.523041,8,purchase,33,Sweater,2,Debit Card
3509,2023-12-07 04:32:17.523041,9,purchase,42,Cookware Set,1,Credit Card
3510,2023-12-07 04:32:17.523041,10,purchase,49,Camping Tent,1,Credit Card
3511,2023-12-07 04:32:17.523041,11,purchase,45,Wall Clock,1,Credit Card
3512,2023-12-07 04:32:17.523041,12,purchase,12,E-reader,2,PayPal
3513,2023-12-07 04:32:17.523041,13,purchase,45,Wall Clock,1,Credit Card
3514,2023-12-07 04:32:17.523041,14,purchase,45,Wall Clock,1,Credit Card
3515,2023-12-07 04:32:17.523041,15,purchase,36,Vacuum Cleaner,4,Credit Card
3516,2023-12-07 04:32:17.523041,16,purchase,15,Art Supplies,2,PayPal
3517,2023-12-07 04:32:17.523041,17,purchase,24,Fitness Tracker,1,Credit Card
3518,2023-12-07 04:32:17.523041,18,purchase,8,Sneakers,1,Credit Card
3519,2023-12-07 04:32:17.523041,19,purchase,29,Yoga Mat,2,Debit Card
3520,2023-12-07 04:32:17.523041,20,purchase,12,E-reader,2,Debit Card
3521,2023-12-07 04:32:17.523041,21,purchase,38,Bed Sheets,3,Credit Card
3522,2023-12-07 04:32:17.523041,22,purchase,28,Water Bottle,3,Credit Card
3523,2023-12-07 04:32:17.523041,23,purchase,45,Wall Clock,2,Debit Card
3524,2023-12-07 04:32:17.523041,24,purchase,44,Candles,2,PayPal
3525,2023-12-07 04:32:17.523041,25,purchase,18,Blender,4,PayPal
3526,2023-12-07 04:32:17.523041,26,purchase,32,Wallet,3,PayPal
3527,2023-12-07 04:32:17.523041,27,purchase,4,Camera,1,PayPal
3528,2023-12-07 04:32:17.523041,28,purchase,44,Candles,3,Credit Card
3529,2023-12-07 04:32:17.523041,29,purchase,46,Sculpture,1,Debit Card
