Interaction_ID,Timestamp,User_ID,Interaction_Type,Product_ID,Product_Name
2801,2023-12-07 04:16:14.856651,1,product_view,18,Blender
2802,2023-12-07 04:16:14.856651,2,product_view,2,Smartphone
2803,2023-12-07 04:16:14.856651,3,product_view,1,Laptop
2804,2023-12-07 04:16:14.856651,4,product_view,36,Vacuum Cleaner
2805,2023-12-07 04:16:14.856651,5,product_view,8,Sneakers
2806,2023-12-07 04:16:14.856651,6,product_view,34,Watch
2807,2023-12-07 04:16:14.856651,7,product_view,48,Hiking Boots
2808,2023-12-07 04:16:14.856651,8,product_view,6,T-Shirt
2809,2023-12-07 04:16:14.856651,9,product_view,45,Wall Clock
2810,2023-12-07 04:16:14.856651,10,product_view,1,Laptop
2811,2023-12-07 04:16:14.856651,11,product_view,49,Camping Tent
2812,2023-12-07 04:16:14.856651,12,product_view,28,Water Bottle
2813,2023-12-07 04:16:14.856651,13,product_view,42,Cookware Set
2814,2023-12-07 04:16:14.856651,14,product_view,45,Wall Clock
2815,2023-12-07 04:16:14.856651,15,product_view,16,Refrigerator
2816,2023-12-07 04:16:14.856651,16,product_view,31,Handbag
2817,2023-12-07 04:16:14.856651,17,product_view,2,Smartphone
2818,2023-12-07 04:16:14.856651,18,product_view,40,Curtains
2819,2023-12-07 04:16:14.856651,19,product_view,29,Yoga Mat
2820,2023-12-07 04:16:14.856651,20,product_view,6,T-Shirt
2821,2023-12-07 04:16:14.856651,21,product_view,35,Umbrella
2822,2023-12-07 04:16:14.856651,22,product_view,50,Sleeping Bag
2823,2023-12-07 04:16:14.856651,23,product_view,15,Art Supplies
2824,2023-12-07 04:16:14.856651,24,product_view,28,Water Bottle
2825,2023-12-07 04:16:14.856651,25,product_view,48,Hiking Boots
2826,2023-12-07 04:16:14.856651,26,product_view,3,Headphones
2827,2023-12-07 04:16:14.856651,27,product_view,47,Cushions
2828,2023-12-07 04:16:14.856651,28,product_view,18,Blender
2829,2023-12-07 04:16:14.856651,29,product_view,15,Art Supplies
2830,2023-12-07 04:16:14.856651,30,product_view,30,Plant
2831,2023-12-07 04:16:14.856651,31,product_view,5,Television
2832,2023-12-07 04:16:14.856651,32,product_view,35,Umbrella
2833,2023-12-07 04:16:14.856651,33,product_view,2,Smartphone
2834,2023-12-07 04:16:14.856651,34,product_view,49,Camping Tent
2835,2023-12-07 04:16:14.856651,35,product_view,17,Microwave
2836,2023-12-07 04:16:14.856651,36,product_view,31,Handbag
2837,2023-12-07 04:16:14.856651,37,product_view,2,Smartphone
2838,2023-12-07 04:16:14.856651,38,product_view,10,Jacket
2839,2023-12-07 04:16:14.856651,39,product_view,1,Laptop
2840,2023-12-07 04:16:14.856651,40,product_view,24,Fitness Tracker
