Interaction_ID,Timestamp,User_ID,Interaction_Type,Product_ID,Search_Query
501,2023-12-07 03:53:11.825359,1,product_search,-,shoes
502,2023-12-07 03:53:11.825359,2,product_search,-,clothing
503,2023-12-07 03:53:11.825359,3,product_search,-,clothing
504,2023-12-07 03:53:11.825359,4,product_search,-,shoes
505,2023-12-07 03:53:11.825359,5,product_search,-,shoes
506,2023-12-07 03:53:11.825359,6,product_search,-,clothing
507,2023-12-07 03:53:11.825359,7,product_search,-,electronics
508,2023-12-07 03:53:11.825359,8,product_search,-,electronics
509,2023-12-07 03:53:11.825359,9,product_search,-,shoes
510,2023-12-07 03:53:11.825359,10,product_search,-,shoes
511,2023-12-07 03:53:11.825359,11,product_search,-,electronics
512,2023-12-07 03:53:11.825359,12,product_search,-,phone
513,2023-12-07 03:53:11.825359,13,product_search,-,clothing
514,2023-12-07 03:53:11.825359,14,product_search,-,shoes
515,2023-12-07 03:53:11.825359,15,product_search,-,electronics
516,2023-12-07 03:53:11.825359,16,product_search,-,clothing
517,2023-12-07 03:53:11.825359,17,product_search,-,shoes
518,2023-12-07 03:53:11.825359,18,product_search,-,clothing
519,2023-12-07 03:53:11.825359,19,product_search,-,laptop
520,2023-12-07 03:53:11.825359,20,product_search,-,electronics
521,2023-12-07 03:53:11.825359,21,product_search,-,phone
522,2023-12-07 03:53:11.825359,22,product_search,-,electronics
523,2023-12-07 03:53:11.825359,23,product_search,-,laptop
524,2023-12-07 03:53:11.825359,24,product_search,-,laptop
525,2023-12-07 03:53:11.825359,25,product_search,-,laptop
526,2023-12-07 03:53:11.825359,26,product_search,-,phone
527,2023-12-07 03:53:11.825359,27,product_search,-,phone
528,2023-12-07 03:53:11.825359,28,product_search,-,electronics
529,2023-12-07 03:53:11.825359,29,product_search,-,clothing
530,2023-12-07 03:53:11.825359,30,product_search,-,clothing
531,2023-12-07 03:53:11.825359,31,product_search,-,clothing
532,2023-12-07 03:53:11.825359,32,product_search,-,electronics
533,2023-12-07 03:53:11.825359,33,product_search,-,electronics
534,2023-12-07 03:53:11.825359,34,product_search,-,laptop
535,2023-12-07 03:53:11.825359,35,product_search,-,laptop
536,2023-12-07 03:53:11.825359,36,product_search,-,shoes
537,2023-12-07 03:53:11.825359,37,product_search,-,shoes
538,2023-12-07 03:53:11.825359,38,product_search,-,clothing
539,2023-12-07 03:53:11.825359,39,product_search,-,laptop
540,2023-12-07 03:53:11.825359,40,product_search,-,laptop
541,2023-12-07 03:53:11.825359,41,product_search,-,shoes
542,2023-12-07 03:53:11.825359,42,product_search,-,shoes
543,2023-12-07 03:53:11.825359,43,product_search,-,phone
544,2023-12-07 03:53:11.825359,44,product_search,-,shoes
545,2023-12-07 03:53:11.825359,45,product_search,-,shoes
